name,series_start_date,series_end_date,nobs,model_nickname,model_form,covariates,holdout_periods,test_set_mape,test_set_rmse,test_set_mae,test_set_r2,last_predicted_test_value,last_actual_test_value,is_best_model
ALSLIND,1982-01-01,2020-02-01,458,auto_arima,"ARIMA(5,0,4) with non-zero mean","['intercept', 'ma4', 'ma3', 'ma2', 'ma1', 'ar5', 'ar4', 'ar3', 'ar2', 'ar1']",12,0.31274368602076436,0.5356557418104764,0.4543840019503049,-30.451150688918204,1.28444871375739,1.21,1
ALSLIND,1982-01-01,2020-02-01,458,average,"Average of 4 models: auto_arima, prophet, prophet_2_reg, arima_2_vars",,12,0.34476767325985186,0.5191330218192071,0.4303257444841884,-13.634459655782884,1.2843532495890713,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,prophet_no_reg,FB Prophet,,12,0.3499963629855616,0.616282316768536,0.5215943720261095,-153.70598109642006,1.3985838541852944,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,prophet_2_reg,FB Prophet,"['JHDUSRGDPBR_lagMonth_3', 'JHDUSRGDPBR_lagMonth_2']",12,0.3537370402567666,0.5460696934225223,0.47196932808060016,-29.146093468390045,1.533198611500339,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,prophet,FB Prophet,"['JHDUSRGDPBR', 'JHDUSRGDPBR_lagMonth_1', 'JHDUSRGDPBR_lagMonth_2', 'JHDUSRGDPBR_lagMonth_3', 'JHDUSRGDPBR_lagMonth_4', 'JHDUSRGDPBR_lagMonth_5', 'JHDUSRGDPBR_lagMonth_6', 'JHDUSRGDPBR_lagMonth_7', 'JHDUSRGDPBR_lagMonth_8', 'JHDUSRGDPBR_lagMonth_9', 'JHDUSRGDPBR_lagMonth_10', 'JHDUSRGDPBR_lagMonth_11', 'JHDUSRGDPBR_lagMonth_12', 'JHDUSRGDPBR_lagMonth_13', 'JHDUSRGDPBR_lagMonth_14', 'JHDUSRGDPBR_lagMonth_15', 'JHDUSRGDPBR_lagMonth_16', 'JHDUSRGDPBR_lagMonth_17', 'JHDUSRGDPBR_lagMonth_18', 'JHDUSRGDPBR_lagMonth_19', 'JHDUSRGDPBR_lagMonth_20', 'JHDUSRGDPBR_lagMonth_21', 'JHDUSRGDPBR_lagMonth_22', 'JHDUSRGDPBR_lagMonth_23', 'JHDUSRGDPBR_lagMonth_24', 't', 'LastRecession_1989-10-01 00:00:00', 'LastRecession_2001-01-01 00:00:00', 'LastRecession_2007-10-01 00:00:00', 'LastRecession_2020-01-01 00:00:00']",12,0.3560585905200435,0.5363589424814056,0.4712630800310387,-1.519142949486477,0.8147889289509553,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,arima_2_vars,"Regression with ARIMA(5,0,4) errors","['JHDUSRGDPBR_lagMonth_3', 'JHDUSRGDPBR_lagMonth_2', 'intercept', 'ma4', 'ma3', 'ma2', 'ma1', 'ar5', 'ar4', 'ar3', 'ar2', 'ar1']",12,0.35653137624183323,0.5467103754388615,0.45506690639698166,-23.845586648100458,1.5049767441476003,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,svr,"Support Vector Regressor - {'kernel': 'linear', 'C': 0.05, 'epsilon': 1.25}","['t', 'JHDUSRGDPBR', 'JHDUSRGDPBR_lagMonth_3', 'JHDUSRGDPBR_lagMonth_2', 'JHDUSRGDPBR_lagMonth_1', 'JHDUSRGDPBR_lagMonth_4', 'JHDUSRGDPBR_lagMonth_5', 'LastRecession_1989-10-01 00:00:00', 'JHDUSRGDPBR_lagMonth_18', 'JHDUSRGDPBR_lagMonth_21', 'JHDUSRGDPBR_lagMonth_6', 'JHDUSRGDPBR_lagMonth_19', 'JHDUSRGDPBR_lagMonth_17', 'JHDUSRGDPBR_lagMonth_20', 'JHDUSRGDPBR_lagMonth_7', 'JHDUSRGDPBR_lagMonth_8', 'LastRecession_2007-10-01 00:00:00', 'JHDUSRGDPBR_lagMonth_9', 'JHDUSRGDPBR_lagMonth_24', 'JHDUSRGDPBR_lagMonth_16', 'JHDUSRGDPBR_lagMonth_10', 'JHDUSRGDPBR_lagMonth_13', 'LastRecession_2001-01-01 00:00:00', 'LastRecession_2020-01-01 00:00:00', 'JHDUSRGDPBR_lagMonth_11', 'JHDUSRGDPBR_lagMonth_22', 'JHDUSRGDPBR_lagMonth_12', 'JHDUSRGDPBR_lagMonth_14', 'JHDUSRGDPBR_lagMonth_23', 'JHDUSRGDPBR_lagMonth_15']",12,0.3616612907578622,0.6876447571638046,0.5713936113420597,-7.327471280151125,0.4750980943479721,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,tbats,"BATS(1, {0,0}, 0.912, -)",,12,0.37541289421466145,0.566299364897023,0.4905892195719166,-140.35367399280244,1.47181429672514,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,mlp,"Multi Level Perceptron - {'hidden_layer_sizes': (10, 50), 'solver': 'lbfgs', 'activation': 'relu'}","['JHDUSRGDPBR_lagMonth_8', 'JHDUSRGDPBR_lagMonth_1', 't', 'JHDUSRGDPBR_lagMonth_3', 'JHDUSRGDPBR_lagMonth_5', 'JHDUSRGDPBR_lagMonth_7', 'JHDUSRGDPBR', 'JHDUSRGDPBR_lagMonth_6', 'LastRecession_2007-10-01 00:00:00', 'JHDUSRGDPBR_lagMonth_19', 'JHDUSRGDPBR_lagMonth_15', 'JHDUSRGDPBR_lagMonth_2', 'JHDUSRGDPBR_lagMonth_18', 'JHDUSRGDPBR_lagMonth_21', 'LastRecession_1989-10-01 00:00:00', 'JHDUSRGDPBR_lagMonth_9', 'JHDUSRGDPBR_lagMonth_11', 'JHDUSRGDPBR_lagMonth_10', 'JHDUSRGDPBR_lagMonth_13', 'JHDUSRGDPBR_lagMonth_14', 'JHDUSRGDPBR_lagMonth_20', 'JHDUSRGDPBR_lagMonth_24', 'JHDUSRGDPBR_lagMonth_4', 'LastRecession_2020-01-01 00:00:00', 'LastRecession_2001-01-01 00:00:00', 'JHDUSRGDPBR_lagMonth_17', 'JHDUSRGDPBR_lagMonth_22', 'JHDUSRGDPBR_lagMonth_23', 'JHDUSRGDPBR_lagMonth_12', 'JHDUSRGDPBR_lagMonth_16']",12,0.3843021341428004,0.6560033397111862,0.567047492196203,-6.241789248548281,0.4676716003616962,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,lasso,Lasso - 0.05,"['JHDUSRGDPBR', 'JHDUSRGDPBR_lagMonth_4', 'JHDUSRGDPBR_lagMonth_3', 'JHDUSRGDPBR_lagMonth_2', 'JHDUSRGDPBR_lagMonth_6', 't', 'JHDUSRGDPBR_lagMonth_19', 'JHDUSRGDPBR_lagMonth_20', 'JHDUSRGDPBR_lagMonth_7', 'JHDUSRGDPBR_lagMonth_18', 'JHDUSRGDPBR_lagMonth_5', 'JHDUSRGDPBR_lagMonth_21', 'JHDUSRGDPBR_lagMonth_11', 'JHDUSRGDPBR_lagMonth_1', 'JHDUSRGDPBR_lagMonth_8', 'JHDUSRGDPBR_lagMonth_9', 'JHDUSRGDPBR_lagMonth_10', 'LastRecession_2020-01-01 00:00:00', 'JHDUSRGDPBR_lagMonth_12', 'JHDUSRGDPBR_lagMonth_13', 'LastRecession_2007-10-01 00:00:00', 'JHDUSRGDPBR_lagMonth_15', 'JHDUSRGDPBR_lagMonth_16', 'JHDUSRGDPBR_lagMonth_17', 'JHDUSRGDPBR_lagMonth_22', 'JHDUSRGDPBR_lagMonth_23', 'JHDUSRGDPBR_lagMonth_24', 'LastRecession_1989-10-01 00:00:00', 'LastRecession_2001-01-01 00:00:00', 'JHDUSRGDPBR_lagMonth_14']",12,0.3918572939612717,0.6650515920804432,0.5788469323406042,-3.905529461412481,0.5247796327771714,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,ets,"ETS(A,N,N)",,12,0.43971288692135957,0.6209047956296554,0.5441651667706368,0.0,1.63999100062382,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,auto_hwes,"Holt-Winters Exponential Smoothing {'trend': None, 'seasonal': None, 'damped_trend': False, 'use_boxcox': None, 'seasonal_periods': None}","['smoothing_level', 'initial_level']",12,0.43971621390573995,0.6209065949617047,0.5441666664431355,0.0,1.6399999986588127,1.21,0
ALSLIND,1982-01-01,2020-02-01,458,ridge,Ridge - 10,"['t', 'JHDUSRGDPBR', 'LastRecession_2007-10-01 00:00:00', 'JHDUSRGDPBR_lagMonth_4', 'JHDUSRGDPBR_lagMonth_3', 'JHDUSRGDPBR_lagMonth_9', 'JHDUSRGDPBR_lagMonth_8', 'JHDUSRGDPBR_lagMonth_1', 'JHDUSRGDPBR_lagMonth_7', 'JHDUSRGDPBR_lagMonth_2', 'JHDUSRGDPBR_lagMonth_6', 'JHDUSRGDPBR_lagMonth_18', 'JHDUSRGDPBR_lagMonth_5', 'JHDUSRGDPBR_lagMonth_19', 'JHDUSRGDPBR_lagMonth_15', 'LastRecession_1989-10-01 00:00:00', 'JHDUSRGDPBR_lagMonth_20', 'JHDUSRGDPBR_lagMonth_21', 'JHDUSRGDPBR_lagMonth_11', 'JHDUSRGDPBR_lagMonth_24', 'JHDUSRGDPBR_lagMonth_17', 'JHDUSRGDPBR_lagMonth_23', 'JHDUSRGDPBR_lagMonth_10', 'JHDUSRGDPBR_lagMonth_12', 'LastRecession_2020-01-01 00:00:00', 'JHDUSRGDPBR_lagMonth_22', 'JHDUSRGDPBR_lagMonth_13', 'LastRecession_2001-01-01 00:00:00', 'JHDUSRGDPBR_lagMonth_14', 'JHDUSRGDPBR_lagMonth_16']",12,0.4474768660922379,0.7357631964527961,0.6384265604978124,-1.655849445704773,-0.023052162698577128,1.21,0
